subject_id,samples,accuracy,macro_f1
01,31,0.6774193548387096,0.5625
02,25,0.96,0.9521531100478469
03,30,0.9666666666666667,0.9644444444444445
04,20,0.2,0.1111111111111111
05,29,0.6896551724137931,0.6543848308554191
06,31,0.6774193548387096,0.5555555555555555
07,21,1.0,1.0
08,11,1.0,1.0
09,17,1.0,1.0
10,30,0.9333333333333333,0.9312169312169312
11,11,0.45454545454545453,0.20833333333333334
12,30,0.36666666666666664,0.23646723646723647
13,5,0.6,0.5
14,1,1.0,1.0
15,3,0.6666666666666666,0.4
16,14,0.35714285714285715,0.17543859649122806
17,15,0.5333333333333333,0.44607843137254904
18,15,0.6,0.5046296296296297
