ID,Pred_Label,Action,Cycles,Confidence,Votes,Cycle_Predictions
1,2,侧平举,5,1.0,{'cpj': 5},侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举
2,2,侧平举,6,1.0,{'cpj': 6},侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举
3,2,侧平举,6,1.0,{'cpj': 6},侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举
4,1,前平举,5,0.6,"{'cpj': 2, 'qpj': 3}",侧平举 | 侧平举 | 前平举 | 前平举 | 前平举
5,3,推肩,6,0.833,"{'tj': 5, 'qpj': 1}",推肩 | 推肩 | 推肩 | 推肩 | 推肩 | 前平举
6,2,侧平举,4,1.0,{'cpj': 4},侧平举 | 侧平举 | 侧平举 | 侧平举
7,1,前平举,5,0.8,"{'qpj': 4, 'cpj': 1}",前平举 | 前平举 | 前平举 | 前平举 | 侧平举
8,2,侧平举,3,0.667,"{'qpj': 1, 'cpj': 2}",前平举 | 侧平举 | 侧平举
9,1,前平举,6,1.0,{'qpj': 6},前平举 | 前平举 | 前平举 | 前平举 | 前平举 | 前平举
10,2,侧平举,6,1.0,{'cpj': 6},侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举
11,2,侧平举,6,1.0,{'cpj': 6},侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举
12,1,前平举,6,0.667,"{'cpj': 2, 'qpj': 4}",侧平举 | 前平举 | 侧平举 | 前平举 | 前平举 | 前平举
13,3,推肩,6,0.833,"{'qpj': 1, 'tj': 5}",前平举 | 推肩 | 推肩 | 推肩 | 推肩 | 推肩
14,2,侧平举,6,1.0,{'cpj': 6},侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举
15,2,侧平举,6,1.0,{'cpj': 6},侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举
16,2,侧平举,5,1.0,{'cpj': 5},侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举
17,2,侧平举,5,1.0,{'cpj': 5},侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举
18,1,前平举,7,1.0,{'qpj': 7},前平举 | 前平举 | 前平举 | 前平举 | 前平举 | 前平举 | 前平举
19,3,推肩,6,0.667,"{'tj': 4, 'qpj': 2}",推肩 | 前平举 | 推肩 | 前平举 | 推肩 | 推肩
20,3,推肩,6,1.0,{'tj': 6},推肩 | 推肩 | 推肩 | 推肩 | 推肩 | 推肩
21,1,前平举,3,0.667,"{'qpj': 2, 'cpj': 1}",前平举 | 前平举 | 侧平举
22,1,前平举,5,0.6,"{'qpj': 3, 'cpj': 2}",前平举 | 前平举 | 侧平举 | 侧平举 | 前平举
23,1,前平举,7,0.857,"{'cpj': 1, 'qpj': 6}",侧平举 | 前平举 | 前平举 | 前平举 | 前平举 | 前平举 | 前平举
24,2,侧平举,5,1.0,{'cpj': 5},侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举
25,3,推肩,6,0.667,"{'tj': 4, 'qpj': 2}",推肩 | 前平举 | 推肩 | 推肩 | 前平举 | 推肩
26,2,侧平举,6,1.0,{'cpj': 6},侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举
27,2,侧平举,6,1.0,{'cpj': 6},侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举
28,1,前平举,3,1.0,{'qpj': 3},前平举 | 前平举 | 前平举
29,2,侧平举,6,1.0,{'cpj': 6},侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举
30,3,推肩,6,0.833,"{'tj': 5, 'qpj': 1}",推肩 | 推肩 | 推肩 | 前平举 | 推肩 | 推肩
31,1,前平举,7,0.714,"{'cpj': 2, 'qpj': 5}",侧平举 | 侧平举 | 前平举 | 前平举 | 前平举 | 前平举 | 前平举
32,2,侧平举,5,1.0,{'cpj': 5},侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举
33,2,侧平举,6,1.0,{'cpj': 6},侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举
34,2,侧平举,5,1.0,{'cpj': 5},侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举
35,2,侧平举,6,1.0,{'cpj': 6},侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举 | 侧平举
36,1,前平举,8,1.0,{'qpj': 8},前平举 | 前平举 | 前平举 | 前平举 | 前平举 | 前平举 | 前平举 | 前平举
