scheme,model,cv_f1,test_f1,params
raw,RF,0.8780315600851141,0.6571,"{'c__max_depth': None, 'c__min_samples_split': 2, 'c__n_estimators': 100, 's': StandardScaler()}"
raw,Bagging,0.8712511326577849,0.546,"{'c__max_features': 0.5, 'c__max_samples': 0.5, 'c__n_estimators': 100, 's': StandardScaler()}"
raw,SVC,0.8910476217808639,0.5926,"{'c__C': 10, 'c__degree': 2, 'c__gamma': 'scale', 'c__kernel': 'rbf', 's': MinMaxScaler()}"
raw,KNN,0.9069161813069858,0.6811,"{'c__metric': 'manhattan', 'c__n_neighbors': 3, 'c__weights': 'distance', 's': MinMaxScaler()}"
raw,GBM,0.8463041040816177,0.6248,"{'c__learning_rate': 0.1, 'c__max_depth': 3, 'c__n_estimators': 100, 's': StandardScaler()}"
raw,LR,0.8053798725619055,0.5383,"{'c__C': 1, 's': MinMaxScaler()}"
raw,Ridge,0.8267043165374843,0.606,"{'c__alpha': 0.1, 's': MinMaxScaler()}"
raw,MLP,0.885756873676392,0.6876,"{'c__alpha': 0.0001, 'c__hidden_layer_sizes': (50,), 'c__learning_rate_init': 0.001, 's': StandardScaler()}"
normalized,RF,0.41530649508203143,0.3189,"{'c__max_depth': 10, 'c__min_samples_split': 2, 'c__n_estimators': 100, 's': StandardScaler()}"
normalized,Bagging,0.4184408737281233,0.2668,"{'c__max_features': 0.5, 'c__max_samples': 0.8, 'c__n_estimators': 100, 's': StandardScaler()}"
normalized,SVC,0.4283429540757366,0.3456,"{'c__C': 10, 'c__degree': 2, 'c__gamma': 'scale', 'c__kernel': 'poly', 's': StandardScaler()}"
normalized,KNN,0.4140109453873625,0.2441,"{'c__metric': 'manhattan', 'c__n_neighbors': 7, 'c__weights': 'distance', 's': MinMaxScaler()}"
normalized,GBM,0.4476129466688262,0.3453,"{'c__learning_rate': 0.1, 'c__max_depth': 3, 'c__n_estimators': 200, 's': StandardScaler()}"
normalized,LR,0.18409677851799985,0.2016,"{'c__C': 0.01, 's': StandardScaler()}"
normalized,Ridge,0.18409677851799985,0.2016,"{'c__alpha': 0.01, 's': StandardScaler()}"
normalized,MLP,0.45355710259647203,0.2782,"{'c__alpha': 0.01, 'c__hidden_layer_sizes': (50,), 'c__learning_rate_init': 0.001, 's': MinMaxScaler()}"
ratio,RF,0.8089798775952118,0.3708,"{'c__max_depth': None, 'c__min_samples_split': 5, 'c__n_estimators': 500, 's': StandardScaler()}"
ratio,Bagging,0.8186861875697133,0.343,"{'c__max_features': 0.5, 'c__max_samples': 1.0, 'c__n_estimators': 200, 's': StandardScaler()}"
ratio,SVC,0.8416236111129995,0.4412,"{'c__C': 10, 'c__degree': 2, 'c__gamma': 'scale', 'c__kernel': 'rbf', 's': MinMaxScaler()}"
ratio,KNN,0.772292879662179,0.4029,"{'c__metric': 'manhattan', 'c__n_neighbors': 3, 'c__weights': 'distance', 's': StandardScaler()}"
ratio,GBM,0.8211113453086373,0.4237,"{'c__learning_rate': 0.2, 'c__max_depth': 3, 'c__n_estimators': 100, 's': StandardScaler()}"
ratio,LR,0.7823141205030774,0.6204,"{'c__C': 1, 's': StandardScaler()}"
ratio,Ridge,0.8014051788468262,0.4415,"{'c__alpha': 10, 's': StandardScaler()}"
ratio,MLP,0.8375967527779669,0.5395,"{'c__alpha': 0.0001, 'c__hidden_layer_sizes': (100,), 'c__learning_rate_init': 0.001, 's': StandardScaler()}"
