feature,importance_mean,importance_std
var_ratio,0.07657414717517233,0.11064604920945281
diff_rms,0.03709034555188402,0.07187738419825448
mav_ch1,0.0224706739966921,0.04653659083473804
iemg_ch1,0.021155916609764312,0.04917468433417956
rms_ch1,0.020745868887271604,0.04672260234023221
var_ch1,0.018890314311128795,0.036672186146358636
ratio_rms,0.006246582926744876,0.023169150483654893
rms_ch2,0.004027408488946954,0.010838715168669872
iemg_dom,0.0,0.0
mav_dom,0.0,0.0
var_ch2,0.0,0.0
rms_dom,-0.0010940170940170909,0.0039445347287127295
rms_log_ratio,-0.0010940170940170909,0.0039445347287127295
rms_ratio_ch1,-0.0010940170940170909,0.0039445347287127295
rms_ratio_ch2,-0.0010940170940170909,0.0039445347287127295
