feature_set,n_features,model,accuracy,precision_macro,recall_macro,f1_macro,f1_subject_mean,f1_subject_std,f1_subject_min
15个稳健特征,15,LogisticRegression,0.9827586206896551,0.9845870715435933,0.985099846390169,0.9848057553956835,0.9511111111111111,0.16587962316908023,0.4
文献基础特征,28,RandomForest,0.9770114942528736,0.9797979797979798,0.980952380952381,0.979779411764706,0.8769230769230769,0.3113247129976625,0.0
文献基础特征,28,ExtraTrees,0.9770114942528736,0.9797979797979798,0.980952380952381,0.979779411764706,0.8769230769230769,0.3113247129976625,0.0
15个稳健特征,15,RBF-SVM,0.9770114942528736,0.9797979797979798,0.980952380952381,0.979779411764706,0.8769230769230769,0.3113247129976625,0.0
全部候选特征,60,RandomForest,0.9770114942528736,0.9797979797979798,0.980952380952381,0.979779411764706,0.8769230769230769,0.3113247129976625,0.0
全部候选特征,60,ExtraTrees,0.9770114942528736,0.9797979797979798,0.980952380952381,0.979779411764706,0.8769230769230769,0.3113247129976625,0.0
15个稳健特征,15,KNN,0.9712643678160919,0.9751243781094527,0.9761904761904763,0.9747344243468273,0.8717430717430718,0.3096620159238978,0.0
15个稳健特征,15,ExtraTrees,0.9712643678160919,0.97451205510907,0.9755760368663594,0.9747111902982931,0.8741880341880341,0.3103078764028474,0.0
15个稳健特征,15,RidgeClassifier,0.9712643678160919,0.9748228554198702,0.973015873015873,0.9734018189546507,0.8307692307692308,0.3351233986275687,0.0
文献基础特征,28,RidgeClassifier,0.9655172413793104,0.9693627450980392,0.970199692780338,0.9696342305037957,0.8712876866723019,0.30956930612087147,0.0
15个稳健特征,15,RandomForest,0.9655172413793104,0.9693627450980392,0.970199692780338,0.9696342305037957,0.9189067342913495,0.18102858717122294,0.4
文献基础特征,28,RBF-SVM,0.9655172413793104,0.9701492537313433,0.9650793650793651,0.9667845719367056,0.8360863697705803,0.3242521632890629,0.0
全部候选特征,60,RBF-SVM,0.9597701149425287,0.9650210486031382,0.9660522273425499,0.9646281940855584,0.8577045177045177,0.3066058128040297,0.0
文献基础特征,28,KNN,0.9425287356321839,0.9493087557603687,0.9493087557603687,0.9493087557603687,0.8947952047952048,0.17665130480315192,0.4
文献基础特征,28,LogisticRegression,0.9367816091954023,0.9440993788819876,0.9445468509984639,0.9442877697841726,0.8389311543157697,0.3007787084031472,0.0
全部候选特征,60,KNN,0.9195402298850575,0.9290322580645162,0.9290322580645162,0.9290322580645162,0.8258497912344065,0.3084235140587509,0.0
全部候选特征,60,LogisticRegression,0.9137931034482759,0.9250058045042954,0.9230414746543779,0.9237126509853782,0.7982098361408705,0.3159250298511024,0.0
全部候选特征,60,RidgeClassifier,0.9080459770114943,0.9244319815933276,0.9042498719918074,0.9125629751182202,0.7851241351241351,0.34978414323626633,0.0
协同/比值特征,49,RBF-SVM,0.8390804597701149,0.862037037037037,0.861136712749616,0.8585533869115958,0.695881642164401,0.36743955019052266,0.0
协同/比值特征,49,LogisticRegression,0.7988505747126436,0.8225967828830908,0.822273425499232,0.8224067347056448,0.64871923172074,0.33782730353834756,0.0
协同/比值特征,49,ExtraTrees,0.7873563218390804,0.8134711060084193,0.8139784946236559,0.8130347401665231,0.6396502248056096,0.35220020705906546,0.0
协同/比值特征,49,RandomForest,0.7528735632183908,0.7821486082355648,0.7823348694316437,0.7822158273381296,0.617258382642998,0.3442078721109753,0.0
协同/比值特征,49,KNN,0.7183908045977011,0.7530530284402918,0.7476190476190476,0.7460990402166873,0.5628093483434887,0.3206973009177895,0.0
协同/比值特征,49,RidgeClassifier,0.7241379310344828,0.7757252326217844,0.7255504352278545,0.743050193050193,0.5528115050123396,0.38076489623251863,0.0
